NAME                              ID              SIZE      MODIFIED    
qwen3.5:27b                       7653528ba5cb    17 GB     2 days ago     
qwen-coder-custom:latest          98b185c13b0e    9.3 GB    4 days ago     
qwen3:14b-q4_K_M                  bdbd181c33f2    9.3 GB    4 days ago     
qwen2.5-coder:7b-instruct-q8_0    7e480bd46127    8.1 GB    7 days ago     
gemma-claude:latest               83a3720fa536    7.6 GB    9 days ago     
gemma4:12b                        4eb23ef187e2    7.6 GB    3 weeks ago    
gemma4:e4b                        c6eb396dbd59    9.6 GB    3 weeks ago    
gemma4-claude:latest              6ff1240590e6    7.6 GB    3 weeks ago    
qwen2.5-coder:7b                  dae161e27b0e    4.7 GB    4 weeks ago    
freehuntx/qwen3-coder:14b         c4df7399b89e    9.3 GB    4 weeks ago    
qwen3:14b                         bdbd181c33f2    9.3 GB    4 weeks ago    
qwen3:8b                          500a1f067a9f    5.2 GB    4 weeks ago    
qwen3.5:35b-a3b                   3460ffeede54    23 GB     4 weeks ago    
qwen3-coder:latest                06c1097efce0    18 GB     4 weeks ago    
qwen3-coder:30b                   06c1097efce0    18 GB     4 weeks ago    
qwen3:4b-thinking                 359d7dd4bcda    2.5 GB    4 weeks ago    
llama3.1:latest                   46e0c10c039e    4.9 GB    4 weeks ago    
qwen3.6:latest                    07d35212591f    23 GB     4 weeks ago    
qwen3.5:9b                        6488c96fa5fa    6.6 GB    4 weeks ago    
