abseil 20260107.1
ada-url 3.4.4
aften 0.0.8
aom 3.14.1
apache-serf 1.3.10
apr 1.7.6
apr-util 1.6.3_1
assimp 6.0.5
astyle 3.6.16
autoconf 2.73
automake 1.18.1
bazel 9.1.0
bdw-gc 8.2.12
berkeley-db 18.1.40_2
berkeley-db@5 5.3.28_1
bison 3.8.2
brew-cask-completion 2.1_1
brotli 1.2.0
c-ares 1.34.6
ca-certificates 2026-05-14
cairo 1.18.4
cask 0.9.1
certifi 2026.5.20
chromaprint 1.6.0
cjson 1.7.19
cmake 4.3.3
coreutils 9.11
dav1d 1.5.3
dbus 1.16.2_1
decklinksdk 15.3
docbook 5.2_1
docbook-xsl 1.79.2_1
double-conversion 3.4.0
doxygen 1.17.0
e2fsprogs 1.47.4
emacs 30.2_2
fdk-aac 2.0.3
fdupes 2.4.0
ffmpeg 8.1.1
ffmpeg@4 4.4.7
flac 1.5.0
fmt 12.1.0
fontconfig 2.18.0
freetype 2.14.3
frei0r 3.1.3
fribidi 1.0.16
game-music-emu 0.6.5
gcc 15.2.0_1
gd 2.3.3_6
gdbm 1.26
gdk-pixbuf 2.44.6
gettext 1.0
ghostscript 10.07.1
giflib 6.1.3
git 2.54.0
glib 2.88.1
gmp 6.3.0
gnu-getopt 2.42.1
gnuplot 6.0.4_1
gnutls 3.8.13_2
gobject-introspection 1.86.0_2
graphite2 1.3.14
graphviz 15.0.0
gts 0.7.6_3
guile 3.0.11
gumbo-parser 0.13.2
harfbuzz 14.2.0
hdrhistogram_c 0.11.9
highway 1.4.0
hunspell 1.7.3
icu4c@78 78.3
imagemagick 7.1.2-24
imath 3.2.2
imlib2 1.12.6
isl 0.27
jack 1.9.22_1
jansson 2.15.0
jasper 4.2.9
jbig2dec 0.20
jemalloc 5.3.0
jpeg 10
jpeg-turbo 3.1.4.1
jpeg-xl 0.11.2
json-glib 1.10.8
lame 3.100
leptonica 1.87.0
libao 1.2.2
libarchive 3.8.7
libass 0.17.4_1
libavif 1.4.2
libb2 0.98.1
libbluray 1.4.1
libbs2b 3.1.0
libcaca 0.99.beta20
libcerf 3.3
libconfig 1.8.2
libdaemon 0.14
libdatrie 0.2.14
libde265 1.1.0
libdeflate 1.25
libelf 0.8.13_1
libev 4.33
libevent 2.1.12_1
libffi 3.5.2
libgcrypt 1.12.2
libgpg-error 1.61
libgsm 1.0.24
libheif 1.22.2
libidn 1.43
libidn2 2.3.8
liblinear 2.50
liblqr 0.4.3
libmaxminddb 1.13.3
libmicrohttpd 1.0.5
libmng 2.0.3_1
libmodplug 0.8.9.0
libmpc 1.4.1
libnghttp2 1.69.0
libnghttp3 1.16.0
libngtcp2 1.23.0
libogg 1.3.6
libomp 22.1.6
libpng 1.6.58
libpthread-stubs 0.5
libraw 0.22.1
librist 0.2.15
librsvg 2.62.2
libsamplerate 0.2.2
libsmi 0.5.0
libsndfile 1.2.2_1
libsodium 1.0.22
libsoxr 0.1.3
libssh 0.12.0_1
libssh2 1.11.1_1
libtasn1 4.21.0
libthai 0.1.30
libtiff 4.7.1_1
libtommath 1.3.0
libtool 2.5.4
libudfread 1.2.0
libunibreak 7.0
libunistring 1.4.2
libuv 1.52.1
libvidstab 1.1.1
libvmaf 3.1.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxml2 2.15.3
libxrender 0.9.12
litehtml 0.9
little-cms2 2.19
llhttp 9.4.1
lsusb 1.0
lua 5.5.0
lz4 1.10.0
lzo 2.10
m4 1.4.21
mbedtls@3 3.6.6
md4c 0.5.3
merve 1.2.2_1
meson 1.11.1
mlx 0.31.2
mlx-c 0.6.0_2
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.5
nasm 3.01
nbytes 0.1.4
ncurses 6.6
netpbm 11.02.23
nettle 4.0
nghttp2 1.69.0
ninja 1.13.2
nmap 7.99
node 26.0.0
numpy 2.4.6
ollama 0.30.7_1
openblas 0.3.33
opencore-amr 0.1.6
openexr 3.4.12
openh264 2.6.0
openjdk 26.0.1
openjdk@21 21.0.11
openjpeg 2.5.4
openjph 0.27.3
openssl@3 3.6.2
opus 1.6.1
orc 0.4.42
p11-kit 0.26.2
pango 1.57.1
pcre 8.45
pcre2 10.47_1
pidof 0.1.4
pipx 1.14.0
pixman 0.46.4
pkgconf 2.5.1
popt 1.19
protobuf 35.0
pstree 2.40
pulseaudio 17.0
pyenv 2.7.2
pyenv-virtualenv 1.4.0
python@3.14 3.14.5
qt 6.11.1
qt3d 6.11.1
qt5compat 6.11.1
qt@5 5.15.19
qtbase 6.11.1
qtcanvaspainter 6.11.1
qtcharts 6.11.1
qtconnectivity 6.11.1
qtdatavis3d 6.11.1
qtdeclarative 6.11.1
qtgraphs 6.11.1
qtgrpc 6.11.1_1
qthttpserver 6.11.1
qtimageformats 6.11.1
qtlanguageserver 6.11.1
qtlocation 6.11.1
qtlottie 6.11.1
qtmultimedia 6.11.1
qtnetworkauth 6.11.1
qtpositioning 6.11.1
qtquick3d 6.11.1
qtquick3dphysics 6.11.1
qtquickeffectmaker 6.11.1
qtquicktimeline 6.11.1
qtremoteobjects 6.11.1
qtscxml 6.11.1
qtsensors 6.11.1
qtserialbus 6.11.1
qtserialport 6.11.1
qtshadertools 6.11.1
qtspeech 6.11.1
qtsvg 6.11.1
qttasktree 6.11.1
qttools 6.11.1
qttranslations 6.11.1
qtvirtualkeyboard 6.11.1
qtwebchannel 6.11.1
qtwebengine 6.11.1
qtwebsockets 6.11.1
qtwebview 6.11.1
qwen-code 0.17.0
r 4.6.0
rav1e 0.8.1
rclone 1.74.2
readline 8.3.3
ripgrep 15.1.0
rmlint 2.10.3
rtmpdump 2.6
rubberband 4.0.0
sdl12-compat 1.2.76
sdl2 2.32.10
shairport-sync 5.0.4
shared-mime-info 2.4_1
shtool 2.0.8
simdjson 4.6.4
simdutf 9.0.0
snappy 1.2.2
speex 1.2.1
speexdsp 1.2.1
sphinx-doc 9.1.0_4
sqlite 3.53.1 3.53.2
srt 1.5.5
subversion 1.14.5_4
svt-av1 4.1.0
swig 4.4.1
tcl-tk 9.0.3
tesseract 5.5.2
texi2html 5.0
texinfo 7.3
theora 1.2.0
tree-sitter@0.25 0.25.10
two-lame 0.4.0
unbound 1.25.1
utf8proc 2.11.3
uvwasi 0.0.23
watch 4.0.6
wavpack 5.9.0
webp 1.6.0
wget 1.25.0
x264 r3222
x265 4.2
xmlto 0.0.29
xorgproto 2025.1
xvid 1.3.7
xz 5.8.3
zeromq 4.3.5_2
zimg 3.0.6
zstd 1.5.7_1
